Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACP,abrdn Income Credit Strategies Fund Common Shares,$6.45,-0.04,-0.616%,0.00,United States,2011,493182,Finance,Investment Managers
AMRN,Amarin Corporation plc,$0.5001,-0.007,-1.38%,205710199.00,Ireland,,1229049,Health Care,Biotechnology: Pharmaceutical Preparations
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),$2.15,-0.01,-0.463%,2552494992.00,,2014,57316,Finance,Commercial Banks
CLPR,Clipper Realty Inc. Common Stock,$4.88,0.02,0.412%,78457175.00,United States,2017,50359,Real Estate,Real Estate Investment Trusts
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),$5.8879,0.1679,2.935%,504130059.00,Peru,,11576,Industrials,Building Materials
CQP,Cheniere Energy Partners LP Common Units,$57.45,-1.42,-2.412%,27808478491.00,United States,2007,134376,Utilities,Oil/Gas Transmission
CVI,CVR Energy Inc. Common Stock,$18.43,-0.57,-3.00%,1852778940.00,United States,2007,1382206,Energy,Integrated oil Companies
DDS,Dillard's Inc. Common Stock,$444.56,2.32,0.525%,7192493118.00,United States,,133017,Consumer Discretionary,Department/Specialty Retail Stores
DOYU,DouYu International Holdings Limited ADS,$12.13,-0.46,-3.654%,383739513.00,China,2019,159499,Technology,Computer Software: Programming Data Processing
FGEN,FibroGen Inc Common Stock,$0.4058,-0.0044,-1.073%,40892528.00,United States,2014,343610,Health Care,Biotechnology: Pharmaceutical Preparations
HOUS,Anywhere Real Estate Inc. Common Stock,$4.74,-0.18,-3.659%,527379984.00,United States,2012,562568,Finance,Real Estate
IPI,Intrepid Potash Inc Common Stock,$27.08,-0.65,-2.344%,356460025.00,United States,2008,87181,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
JBGS,JBG SMITH Properties Common Shares ,$16.29,-0.12,-0.731%,1376142694.00,United States,2017,470614,Real Estate,Real Estate Investment Trusts
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,$3.31,-0.03,-0.898%,3310000000.00,South Korea,2004,174032,Technology,Industrial Machinery/Components
NEUE,NeueHealth Inc. Common Stock,$5.31,0.06,1.143%,43992224.00,United States,2021,3608,Health Care,Medical Specialities
SUPV,Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares,$11.74,-0.48,-3.928%,1072384007.00,,2016,1173424,Finance,Commercial Banks
WOR,Worthington Enterprises Inc. Common Shares,$41.55,0.17,0.411%,2088314011.00,United States,,177983,Industrials,Steel/Iron Ore
XRX,Xerox Holdings Corporation Common Stock,$8.79,-0.06,-0.678%,1092875942.00,United States,,1405133,Technology,Computer peripheral equipment
ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares,$19.55,0.00,0.00%,2351603558.00,,2021,5328373,Consumer Discretionary,Marine Transportation
